"county_fips_character","region","state_name","county_name","Parent_Organization","value","name"
"01001",1001,"alabama","autauga","Aetna Inc.","0","alabama,autauga"
"01001",1001,"alabama","autauga","Anthem Inc.","0","alabama,autauga"
"01001",1001,"alabama","autauga","CIGNA","25.5325814536341","alabama,autauga"
"01001",1001,"alabama","autauga","Health Net, Inc.","0","alabama,autauga"
"01001",1001,"alabama","autauga","Highmark Health","0","alabama,autauga"
"01001",1001,"alabama","autauga","Humana Inc.","8.05137844611529","alabama,autauga"
"01001",1001,"alabama","autauga","Kaiser Foundation Health Plan, Inc.","0","alabama,autauga"
"01001",1001,"alabama","autauga","UnitedHealth Group, Inc.","19.6115288220551","alabama,autauga"
"01001",1001,"alabama","autauga","WellCare Health Plans, Inc.","0","alabama,autauga"
"01003",1003,"alabama","baldwin","Aetna Inc.","0.901272789817681","alabama,baldwin"
"01003",1003,"alabama","baldwin","Anthem Inc.","0","alabama,baldwin"
"01003",1003,"alabama","baldwin","CIGNA","17.6814585483316","alabama,baldwin"
"01003",1003,"alabama","baldwin","Health Net, Inc.","0","alabama,baldwin"
"01003",1003,"alabama","baldwin","Highmark Health","0.405916752665979","alabama,baldwin"
"01003",1003,"alabama","baldwin","Humana Inc.","32.4251805985552","alabama,baldwin"
"01003",1003,"alabama","baldwin","Kaiser Foundation Health Plan, Inc.","0","alabama,baldwin"
"01003",1003,"alabama","baldwin","UnitedHealth Group, Inc.","17.9153766769866","alabama,baldwin"
"01003",1003,"alabama","baldwin","WellCare Health Plans, Inc.","0","alabama,baldwin"
"01005",1005,"alabama","barbour","Aetna Inc.","0","alabama,barbour"
"01005",1005,"alabama","barbour","Anthem Inc.","0","alabama,barbour"
"01005",1005,"alabama","barbour","CIGNA","0","alabama,barbour"
"01005",1005,"alabama","barbour","Health Net, Inc.","0","alabama,barbour"
"01005",1005,"alabama","barbour","Highmark Health","0","alabama,barbour"
"01005",1005,"alabama","barbour","Humana Inc.","76.1071060762101","alabama,barbour"
"01005",1005,"alabama","barbour","Kaiser Foundation Health Plan, Inc.","0","alabama,barbour"
"01005",1005,"alabama","barbour","UnitedHealth Group, Inc.","3.50154479917611","alabama,barbour"
"01005",1005,"alabama","barbour","WellCare Health Plans, Inc.","0","alabama,barbour"
"01007",1007,"alabama","bibb","Aetna Inc.","0","alabama,bibb"
"01007",1007,"alabama","bibb","Anthem Inc.","0","alabama,bibb"
"01007",1007,"alabama","bibb","CIGNA","43.7782805429864","alabama,bibb"
"01007",1007,"alabama","bibb","Health Net, Inc.","0","alabama,bibb"
"01007",1007,"alabama","bibb","Highmark Health","2.94117647058824","alabama,bibb"
"01007",1007,"alabama","bibb","Humana Inc.","5.82579185520362","alabama,bibb"
"01007",1007,"alabama","bibb","Kaiser Foundation Health Plan, Inc.","0","alabama,bibb"
"01007",1007,"alabama","bibb","UnitedHealth Group, Inc.","18.6651583710407","alabama,bibb"
"01007",1007,"alabama","bibb","WellCare Health Plans, Inc.","0","alabama,bibb"
"01009",1009,"alabama","blount","Aetna Inc.","0","alabama,blount"
"01009",1009,"alabama","blount","Anthem Inc.","0","alabama,blount"
"01009",1009,"alabama","blount","CIGNA","8.04338927548097","alabama,blount"
"01009",1009,"alabama","blount","Health Net, Inc.","0","alabama,blount"
"01009",1009,"alabama","blount","Highmark Health","1.92386410151453","alabama,blount"
"01009",1009,"alabama","blount","Humana Inc.","3.00859598853868","alabama,blount"
"01009",1009,"alabama","blount","Kaiser Foundation Health Plan, Inc.","0","alabama,blount"
"01009",1009,"alabama","blount","UnitedHealth Group, Inc.","19.6479738027016","alabama,blount"
"01009",1009,"alabama","blount","WellCare Health Plans, Inc.","0","alabama,blount"
"01011",1011,"alabama","bullock","Aetna Inc.","0","alabama,bullock"
"01011",1011,"alabama","bullock","Anthem Inc.","0","alabama,bullock"
"01011",1011,"alabama","bullock","CIGNA","0","alabama,bullock"
"01011",1011,"alabama","bullock","Health Net, Inc.","0","alabama,bullock"
"01011",1011,"alabama","bullock","Highmark Health","0","alabama,bullock"
"01011",1011,"alabama","bullock","Humana Inc.","14.9473684210526","alabama,bullock"
"01011",1011,"alabama","bullock","Kaiser Foundation Health Plan, Inc.","0","alabama,bullock"
"01011",1011,"alabama","bullock","UnitedHealth Group, Inc.","0","alabama,bullock"
"01011",1011,"alabama","bullock","WellCare Health Plans, Inc.","0","alabama,bullock"
"01013",1013,"alabama","butler","Aetna Inc.","0","alabama,butler"
"01013",1013,"alabama","butler","Anthem Inc.","0","alabama,butler"
